stevilo mrtvih,potniki

1,2

1,1

5,5

1,1

14,20

30,30

21,41

19,19

20,20

22,22

19,19

27,28

20,20

20,20

23,23

21,21

24,24

14,16

18,18

18,18

23,23

22,22

19,19

1,1

1,1

1,1

3,5

14,14

1,1

1,1

0,0

1,1

1,1

1,1

1,1

1,2

1,2

1,2

1,1

1,1

1,1

1,1

2,2

2,2

1,1

2,2

2,2

1,1

1,1

4,8

1,1

1,1

3,3

2,2

1,1

2,2

1,1

1,1

1,1

2,2

46,46

5,5

2,2

5,5

34,45

5,6

7,7

17,17

3,3

2,3

5,5

3,3

1,1

4,4

2,2

1,1

3,4

1,1

1,1

1,1

6,6

1,11

2,2

1,1

5,5

3,5

1,1

52,52

1,1

1,1

3,3

5,5

1,1

1,1

1,1

8,8

5,5

3,3

4,4

2,2

1,1

1,1

14,43

1,3

1,1

1,1

2,2

1,1

1,1

1,1

6,6

2,2

5,5

3,15

2,5

7,7

4,4

0,12

3,3

1,1

0,0

1,1

3,3

1,1

2,2

1,1

1,3

5,5

1,11

1,1

7,12

3,3

6,6

2,2

4,4

1,1

6,6

1,1

1,1

5,5

3,3

2,2

1,1

2,2

1,1

1,2

2,2

1,2

9,9

1,5

2,2

3,5

5,5

1,1

6,6

4,6

1,6

7,7

5,5

1,2

7,7

3,3

3,3

1,1

1,2

1,3

3,3

1,1

1,1

5,5

14,14

5,5

3,4

1,1

4,4

2,3

1,1

1,1

2,9

2,2

1,1

14,15

4,4

6,6

5,5

2,2

4,6

2,5

1,2

7,13

1,8

5,5

1,1

4,4

1,1

4,5

1,2

8,8

3,5

6,6

6,6

1,1

5,5

1,2

7,7

1,1

2,2

4,4

7,8

3,3

1,12

1,1

1,1

2,3

5,5

1,1

3,3

16,16

2,2

5,5

1,1

2,6

4,4

3,4

1,15

5,8

5,5

6,6

10,11

2,2

3,3

48,54

8,8

4,4

3,3

3,3

3,6

1,1

1,9

3,3

4,6

2,2

1,1

3,3

2,3

1,3

8,8

8,8

2,10

2,2

1,1

1,1

4,4

2,3

4,4

2,2

2,2

1,1

7,7

6,6

1,1

6,6

4,4

3,3

3,3

5,5

3,3

1,1

3,3

1,1

2,6

5,7

2,2

4,5

1,1

8,8

5,5

1,2

1,1

3,3

3,5

7,7

1,1

3,3

1,1

1,1

3,3

1,2

9,9

0,7

2,2

3,4

1,2

3,3

1,1

2,2

2,2

5,5

2,2

2,2

1,1

1,1

1,3

2,2

1,1

1,1

2,3

2,2

3,3

15,15

1,2

73,76

5,8

4,4

6,6

1,1

9,9

6,6

5,5

8,8

10,10

2,5

4,10

0,1

8,8

14,20

2,2

6,10

5,6

10,10

14,14

2,2

8,8

1,6

4,4

5,6

3,15

3,3

6,6

2,2

7,7

6,10

1,7

1,1

3,4

12,12

2,2

3,3

5,5

7,7

3,3

11,11

2,4

4,4

2,2

3,3

1,1

4,8

