stevilo_mrtvih,potniki
1,2(0)
1,1(0)
5,5(0)
1,1(0)
14,20(0)
30,30(0)
21,41(0)
19,19(0)
20,20(0)
22,22(0)
19,19(0)
27,28(0)
20,20(0)
20,20(0)
23,23(0)
21,21(0)
24,24(0)
14,16(0)
18,18(0)
18,18(0)
23,23(0)
22,22(0)
19,19(0)
1,1(0)
1,1(0)
1,1(0)
3,?(10)
14,14(0)
1,1(0)
1,1(0)
0,0(0)
1,1(0)
1,1(0)
1,1(0)
1,1(0)
1,2(0)
1,2(0)
1,2(0)
1,1(0)
1,1(0)
1,1(0)
1,1(0)
2,2(0)
2,2(0)
1,1(0)
2,2(0)
2,2(0)
1,1(0)
1,1(0)
4,8(0)
1,1(0)
1,1(0)
3,3(0)
2,2(0)
1,1(0)
2,2(0)
1,1(0)
1,1(0)
1,1(0)
2,2(0)
46,46(1)
5,5(0)
2,2(0)
5,5(5)
34,45(0)
5,6(0)
7,7(0)
17,17(0)
3,3(0)
2,3(0)
5,5(0)
3,3(0)
1,1(0)
4,4(0)
2,2(0)
1,1(0)
3,4(0)
1,1(0)
1,1(0)
1,1(0)
6,6(0)
1,11(0)
2,2(0)
1,1(0)
5,5(0)
3,5(0)
1,1(0)
52,52(0)
1,1(0)
1,1(0)
3,3(0)
5,5(0)
1,1(0)
1,1(0)
1,1(0)
8,8(0)
5,5(0)
3,3(0)
4,4(0)
2,2(0)
1,1(0)
1,1(0)
14,43(0)
?,?(?)
1,1(0)
1,1(0)
2,2(0)
1,1(0)
1,1(0)
1,1(0)
6,6(0)
2,2(0)
5,5(0)
3,15(0)
2,5(0)
7,7(0)
4,4(0)
0,12(0)
3,3(0)
1,1(0)
0,0(0)
1,1(0)
3,3(0)
1,1(0)
2,2(0)
1,1(0)
1,3(0)
5,5(0)
1,11(0)
1,1(0)
7,12(0)
3,3(0)
6,6(0)
2,2(0)
4,4(0)
1,1(0)
6,6(0)
1,1(0)
1,1(0)
5,5(0)
3,3(0)
2,2(0)
1,1(0)
2,2(0)
1,1(0)
1,2(0)
2,2(0)
1,2(0)
9,9(0)
1,5(0)
2,2(0)
3,5(0)
5,5(0)
1,1(0)
6,6(0)
4,6(0)
1,6(0)
7,7(0)
5,5(0)
1,2(0)
7,7(0)
3,3(0)
3,3(0)
1,1(0)
1,2(0)
1,3(0)
3,3(0)
1,1(0)
1,1(0)
5,5(0)
14,14(0)
5,5(0)
3,4(0)
1,1(0)
4,4(0)
2,3(0)
1,1(0)
1,1(0)
2,9(0)
2,2(0)
1,1(0)
14,15(0)
4,4(0)
6,6(0)
5,5(0)
2,2(0)
4,6(0)
2,5(0)
1,2(0)
7,13(0)
1,8(0)
5,5(0)
1,1(0)
4,4(0)
1,1(0)
4,5(0)
1,2(0)
8,8(0)
3,5(0)
6,6(0)
6,6(0)
1,1(0)
5,5(0)
1,2(0)
7,7(0)
1,1(0)
2,2(0)
4,4(0)
7,8(0)
3,3(0)
1,12(0)
1,1(0)
1,1(0)
2,3(0)
5,5(0)
1,1(0)
3,3(0)
16,16(0)
2,2(0)
5,5(0)
1,1(0)
2,6(0)
4,4(0)
3,4(0)
1,15(0)
5,8(0)
5,5(0)
6,6(0)
10,11(0)
2,2(0)
3,3(0)
48,54(0)
8,8(0)
4,4(0)
3,3(?)
3,3(0)
3,6(0)
1,1(0)
1,9(0)
3,3(?)
4,6(0)
2,2(0)
1,1(0)
3,3(0)
2,3(0)
1,3(0)
8,8(0)
8,8(0)
2,10(0)
2,2(0)
1,1(0)
1,1(0)
4,4(0)
2,3(0)
4,4(0)
2,2(0)
2,2(0)
1,1(0)
7,7(0)
6,6(0)
1,1(0)
6,6(0)
4,4(0)
3,3(0)
3,3(0)
5,5(0)
3,3(0)
1,1(0)
3,3(0)
1,1(0)
2,6(0)
5,7(0)
2,2(0)
4,5(0)
1,1(0)
8,8(0)
5,5(0)
1,2(0)
1,1(0)
3,3(0)
3,5(0)
7,7(0)
1,1(0)
3,3(0)
1,1(0)
1,1(0)
3,3(0)
1,2(0)
9,9(0)
0,7(0)
2,2(0)
3,4(0)
1,2(0)
3,3(0)
1,1(0)
2,2(0)
2,2(0)
5,5(0)
2,2(0)
2,2(0)
1,1(0)
1,1(0)
1,3(0)
2,2(0)
1,1(0)
1,1(0)
2,3(0)
2,2(0)
3,3(11)
15,15(0)
1,2(0)
73,76(0)
5,8(0)
4,4(0)
6,6(0)
1,1(0)
9,9(0)
6,6(0)
5,5(0)
8,8(0)
10,10(0)
2,5(0)
4,10(?)
0,1(0)
8,8(?)
14,20(0)
2,2(0)
6,10(0)
5,6(0)
10,10(0)
14,14(0)
2,2(0)
8,8(0)
1,6(0)
4,4(0)
5,6(0)
3,15(0)
3,3(0)
6,6(0)
2,2(0)
7,7(0)
6,10(0)
1,7(0)
1,1(0)
3,4(0)
12,12(0)
2,2(0)
?,?(?)
5,5(0)
7,7(0)
3,3(0)
11,11(0)
2,4(0)
4,4(0)
2,2(0)
3,3(0)
1,1(0)
4,8(0)
7,7(0)
1,1(0)
10,10(0)
0,2(15)
1,1(0)
11,11(0)
0,3(0)
3,6(0)
5,5(0)
1,3(0)
7,7(0)
1,1(0)
5,14(0)
50,50(2)
3,12(0)
1,1(0)
2,2(0)
6,9(0)
17,20(0)
6,20(0)
2,2(0)
13,13(0)
1,8(0)
5,5(0)
7,7(0)
?,?(?)
4,4(0)
2,2(0)
3,3(0)
3,3(0)
8,8(0)
5,5(0)
12,12(0)
6,6(0)
1,6(0)
4,4(0)
4,4(0)
1,1(0)
12,13(0)
3,3(0)
1,2(0)
11,11(0)
3,3(0)
12,13(0)
13,16(0)
17,17(0)
13,13(0)
6,6(0)
1,6(0)
6,6(0)
4,4(0)
0,6(0)
5,5(0)
14,14(0)
2,2(0)
12,14(0)
3,25(0)
7,7(0)
3,5(0)
2,2(0)
2,2(0)
2,2(0)
1,15(0)
1,6(0)
7,7(0)
7,7(0)
6,6(0)
10,10(0)
3,3(0)
1,1(0)
8,8(0)
2,3(0)
2,2(0)
2,11(0)
10,11(0)
2,2(0)
3,3(0)
9,10(0)
4,4(0)
1,1(0)
1,1(0)
11,15(0)
4,16(0)
2,4(0)
6,6(0)
9,14(0)
5,5(0)
15,17(0)
7,7(0)
2,2(0)
0,11(0)
6,6(0)
?,?(?)
12,12(0)
9,9(0)
5,13(0)
12,12(0)
11,11(0)
5,7(0)
4,4(0)
5,6(0)
13,13(0)
0,6(0)
35,97(1)
4,4(0)
8,8(0)
2,2(0)
15,15(0)
9,9(0)
14,14(0)
5,5(0)
3,11(0)
4,9(0)
3,3(0)
1,1(1)
2,14(0)
4,11(0)
19,19(0)
7,7(0)
4,11(?)
10,12(0)
11,11(0)
3,3(0)
4,17(0)
2,8(0)
2,19(0)
2,7(0)
3,3(0)
6,6(0)
10,10(0)
7,7(0)
1,1(0)
11,14(0)
13,19(0)
2,2(0)
8,12(0)
14,14(0)
3,3(0)
9,9(0)
7,7(0)
1,1(0)
8,8(0)
19,19(0)
1,6(0)
2,2(0)
9,9(0)
6,17(0)
10,10(0)
1,1(0)
3,3(0)
3,3(0)
4,4(0)
1,10(0)
20,20(0)
4,4(?)
14,14(0)
4,4(0)
15,15(0)
12,12(0)
6,6(0)
11,11(0)
16,17(0)
9,9(0)
0,7(0)
15,15(0)
14,17(0)
5,5(53)
0,11(0)
5,9(0)
4,4(0)
13,13(0)
20,20(0)
18,18(0)
2,2(0)
14,14(1)
6,19(0)
2,2(0)
12,15(0)
4,6(0)
5,7(0)
8,8(0)
10,15(0)
4,4(0)
13,13(0)
5,17(0)
10,10(0)
4,4(0)
4,4(0)
3,13(0)
6,6(0)
10,10(0)
3,3(0)
8,8(0)
10,10(0)
8,12(0)
9,9(0)
2,4(0)
9,9(0)
1,1(22)
0,4(1)
3,3(0)
3,3(0)
6,6(0)
7,7(0)
14,16(0)
5,6(0)
2,2(0)
7,7(0)
1,20(0)
5,5(0)
2,2(?)
9,9(0)
5,8(0)
7,7(0)
8,9(0)
10,10(0)
11,11(0)
8,8(0)
14,14(0)
5,5(0)
5,5(0)
9,9(0)
1,1(0)
4,4(0)
2,13(0)
10,10(0)
11,11(0)
15,15(0)
25,25(0)
7,12(0)
9,14(0)
2,15(0)
17,17(0)
10,10(0)
18,18(0)
29,29(0)
6,6(0)
10,16(0)
7,7(0)
16,16(0)
10,10(0)
12,16(0)
5,6(0)
2,13(0)
12,12(0)
9,16(0)
3,12(0)
10,10(0)
6,6(0)
0,18(0)
18,18(0)
5,25(0)
22,22(0)
22,22(0)
8,14(0)
3,3(0)
10,10(0)
15,17(0)
2,15(0)
13,13(0)
14,15(0)
20,20(0)
7,36(0)
3,3(0)
26,34(0)
4,4(0)
22,22(0)
11,11(0)
5,5(0)
13,18(0)
9,9(0)
1,1(?)
9,9(0)
20,20(0)
8,12(0)
20,21(0)
13,17(0)
12,12(0)
17,17(0)
3,14(0)
20,20(0)
21,21(0)
10,10(0)
13,13(0)
4,10(0)
4,4(0)
13,13(0)
14,15(0)
19,19(0)
25,25(0)
15,15(0)
?,?(?)
22,22(0)
11,37(0)
10,12(0)
17,17(0)
12,13(0)
6,6(0)
10,10(0)
20,20(0)
36,36(0)
17,19(0)
2,16(0)
13,13(0)
13,15(0)
35,35(0)
26,26(0)
19,19(0)
14,15(0)
19,21(0)
10,10(20)
25,39(0)
3,3(0)
3,3(0)
24,24(0)
7,7(0)
13,31(0)
17,17(0)
20,20(0)
23,23(0)
40,41(0)
17,17(0)
16,16(0)
12,13(0)
10,25(0)
20,22(0)
10,10(63)
27,27(0)
3,3(0)
17,17(0)
18,21(0)
7,7(0)
22,22(0)
25,25(0)
20,20(0)
15,15(0)
24,24(0)
13,15(0)
20,20(0)
19,19(0)
1,1(37)
2,3(0)
3,3(0)
15,15(0)
10,10(0)
3,3(0)
31,31(0)
25,25(0)
5,5(0)
24,24(0)
14,14(0)
2,2(0)
16,16(0)
21,21(?)
6,6(0)
5,7(0)
9,20(0)
16,16(0)
12,12(0)
14,14(0)
22,22(0)
22,22(0)
22,22(0)
6,6(0)
2,4(0)
10,10(0)
2,2(19)
17,17(0)
26,26(0)
22,22(0)
22,24(0)
